CODE,COUNTRY,POPULATION,TOTAL_CASES,TOTAL_DEATH_COUNT,GDP_FY2020
AFG,Afghanistan,17.4772331,294,7,7497754494
ALB,Albania,14.87253667,225,6,9376145531
DZA,Algeria,17.59630906,294,8,9540639235
AND,Andorra,11.25499635,226,4,0
AGO,Angola,17.3079574,212,5,8668968767
AIA,Anguilla,9.615938805,207,0,0
ATG,Antigua and Barbuda,11.49198779,214,1,9975386870
ARG,Argentina,17.62651421,252,10,9848709615
ARM,Armenia,14.9017918,294,7,9081094640
ABW,Aruba,11.5783948,216,4,10490545650
AUS,Australia,17.05418434,294,7,10706580690
AUT,Austria,16.01344599,294,7,10724075120
AZE,Azerbaijan,16.13191719,294,6,9670761927
BHS,Bahamas,12.88219574,216,5,10229831780
BHR,Bahrain,14.34706955,294,6,10675693230
BGD,Bangladesh,18.91957173,231,9,8167347447
BRB,Barbados,12.56852934,216,2,9739677672
BLR,Belarus,16.06145345,294,7,9750800543
BEL,Belgium,16.26562008,292,9,10660983610
BLZ,Belize,12.89325457,210,4,8964997479
BEN,Benin,16.31063137,217,4,7632515461
BMU,Bermuda,11.03928322,214,2,10833075780
BTN,Bhutan,13.55623711,223,0,9072065978
BOL,Bolivia,16.27279152,222,9,8837220811
BES,Bonaire Sint Eustatius and Saba,10.1743159,201,1,0
BIH,Bosnia and Herzegovina,15.00360243,223,7,9368531023
BWA,Botswana,14.67061714,202,3,9668231819
BRA,Brazil,19.17473208,294,12,9554174869
VGB,British Virgin Islands,10.31682162,207,0,0
BRN,Brunei,12.98879313,223,1,11181768590
BGR,Bulgaria,15.75402845,224,7,9828942169
BFA,Burkina Faso,16.85541655,221,4,7440206573
BDI,Burundi,16.29127395,202,0,6554253865
KHM,Cambodia,16.63205462,294,0,8201130849
CMR,Cameroon,17.09438451,223,6,8121161251
CAN,Canada,17.44628825,294,9,10692344630
CPV,Cape Verde,13.22850199,213,4,8735935712
CYM,Cayman Islands,11.09315857,214,0,10817836980
CAF,Central African Republic,15.39030816,218,4,6494116860
TCD,Chad,16.61436742,214,5,7477690778
CHL,Chile,16.76604717,229,10,10033069020
CHN,China,21.08743924,294,8,9636177357
COL,Colombia,17.74503716,229,10,9492126271
COM,Comoros,13.67578287,171,2,7254100050
COG,Congo,15.52354271,218,5,8493188572
CRI,Costa Rica,15.44359631,226,7,9650206585
CIV,Cote d'Ivoire,17.08805131,220,5,8188968530
HRV,Croatia,15.22778158,294,6,10028788790
CUB,Cuba,16.24266591,219,5,0
CUW,Curacao,12.00823128,216,0,0
CYP,Cyprus,13.68300607,222,3,10386380630
CZE,Czech Republic,16.18659339,294,7,10392248720
COD,Democratic Republic of Congo,18.31043503,221,6,6694726649
DNK,Denmark,15.57202326,294,7,10751124960
DJI,Djibouti,13.80344,215,4,7903007272
DMA,Dominica,11.18429639,211,0,9177131718
DOM,Dominican Republic,16.19948244,294,8,9588835779
ECU,Ecuador,16.68585306,294,9,9266903675
EGY,Egypt,18.44375647,294,9,9263900665
SLV,El Salvador,15.68518756,215,7,8894595942
GNQ,Equatorial Guinea,14.15411267,219,4,10025920780
ERI,Eritrea,15.08145118,212,0,7320168857
EST,Estonia,14.09808385,294,4,10291509810
ETH,Ethiopia,18.56012597,221,7,7455834490
FRO,Faeroe Islands,10.79681667,228,0,0
FLK,Falkland Islands,8.15564927,199,0,0
FJI,Fiji,13.7061911,264,1,9071420200
FIN,Finland,15.52763465,294,6,10611171580
FRA,France,17.99409688,294,10,10561154460
PYF,French Polynesia,12.54576825,215,3,0
GAB,Gabon,14.61559461,220,4,9714891130
GMB,Gambia,14.69789863,216,5,7353573152
GEO,Georgia,15.199095,294,5,9184517719
DEU,Germany,18.24375196,294,9,10719499170
GHA,Ghana,17.25184806,220,6,8349396831
GIB,Gibraltar,10.42498602,214,0,0
GRC,Greece,16.15953083,294,6,10109459800
GRL,Greenland,10.94679853,214,0,0
GRD,Grenada,11.63087738,211,0,9517374750
GUM,Guam,12.03636915,215,4,0
GTM,Guatemala,16.70118056,246,8,8912447412
GGY,Guernsey,11.11322372,214,3,0
GIN,Guinea,16.39062287,219,4,7600365315
GNB,Guinea-Bissau,14.49252734,207,4,7345155006
GUY,Guyana,13.57542301,219,5,8913960180
HTI,Haiti,16.24934608,214,5,7410451751
HND,Honduras,16.10851066,220,8,8421077587
HKG,Hong Kong,15.8300119,51,0,10934087200
HUN,Hungary,16.08354044,230,7,10195319540
ISL,Iceland,12.74037063,294,2,10746841030
IND,India,21.04535251,294,12,8768212421
IDN,Indonesia,19.42689854,294,9,9322663552
